순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	김도윤	두산	0.00	1	0	0	0	0	-	1	0	0	0	0	2	0	0	0.00
1	이형범	두산	0.00	4	0	0	0	0	-	2 2/3	2	0	5	1	2	2	0	2.63
1	최세창	두산	0.00	1	0	0	0	0	-	1 1/3	1	0	1	0	0	0	0	1.50
4	이현승	두산	1.93	38	5	1	0	7	0.833	23 1/3	16	1	6	0	20	6	5	0.94
5	김강률	두산	2.09	50	3	0	21	3	1.000	51 2/3	54	2	25	1	41	15	12	1.53
6	미란다	두산	2.33	28	14	5	0	0	0.737	173 2/3	135	11	63	1	225	49	45	1.14
7	권휘	두산	2.66	24	0	0	0	1	-	20 1/3	16	0	14	2	15	6	6	1.48
8	홍건희	두산	2.78	65	6	6	3	17	0.500	74 1/3	65	3	27	0	82	23	23	1.24
9	로켓	두산	2.98	21	9	9	0	0	0.500	124	132	5	42	12	112	44	41	1.40
10	최원준	두산	3.30	29	12	4	0	0	0.750	158 1/3	160	15	37	10	113	65	58	1.24
11	이승진	두산	3.91	47	1	4	2	13	0.200	48 1/3	41	3	31	2	28	24	21	1.49
12	최승용	두산	3.93	15	0	0	0	2	-	18 1/3	20	3	10	1	16	10	8	1.64
13	박치국	두산	4.09	23	2	1	0	8	0.667	22	21	2	11	1	20	11	10	1.45
14	곽빈	두산	4.10	21	4	7	0	0	0.364	98 2/3	78	7	79	12	96	50	45	1.59
15	김명신	두산	4.30	58	3	2	0	2	0.600	67	72	6	14	6	43	37	32	1.28
16	윤명준	두산	4.73	45	1	0	0	1	1.000	45 2/3	53	3	20	4	26	28	24	1.60
17	박웅	두산	5.40	10	0	0	0	0	-	11 2/3	12	0	4	3	7	7	7	1.37
18	박종기	두산	5.73	22	0	4	0	0	0.000	59 2/3	69	3	29	3	33	42	38	1.64
19	김민규	두산	6.07	31	2	3	0	1	0.400	56 1/3	64	9	28	4	39	40	38	1.63
20	이영하	두산	6.29	35	5	6	1	2	0.455	78 2/3	81	9	57	1	53	58	55	1.75
21	문대원	두산	6.75	2	0	0	0	0	-	1 1/3	2	1	2	0	1	1	1	3.00
21	장원준	두산	6.75	32	0	1	1	4	0.000	18 2/3	20	1	18	2	8	15	14	2.04
23	박정수	두산	7.42	12	3	3	0	0	0.500	30 1/3	38	5	14	3	26	27	25	1.71
24	유희관	두산	7.71	15	4	7	0	0	0.364	63	107	10	24	3	23	57	54	2.08
